"SUID","cooc_method","interaction","interactionType","Label","method_number","method_scores","methodname_interactiontype","methodname_pval","methodname_score","name","nulldistribmean","nulldistribmedian","nulldistribsd","oriScore","pval","pval-brown-merge","qval","randdistribMean","randdistribMedian","randdistribNumNonNaNScores","randdistribSD","selected","shared interaction","shared name","weight"
"2166","dist_kullbackleibler",,"mutualExclusion","otu297->OTU-EUK137","1","22.26748997","dist_kullbackleibler=mutualExclusion","dist_kullbackleibler=1.402651628179541E-8","dist_kullbackleibler=22.26748997","otu297->OTU-EUK137","","","","22.26748997","1.3001427345837868E-6","1.3001427345837868E-6","7.045859183812947E-6","-100.0","-100.0","-50.0","-100.0","false",,"otu297->OTU-EUK137","7.045859183812947E-6"
"2167","dist_kullbackleibler",,"mutualExclusion","otu547->OTU-EUK373","1","20.96466371","dist_kullbackleibler=mutualExclusion","dist_kullbackleibler=7.27458176019713E-6","dist_kullbackleibler=20.96466371","otu547->OTU-EUK373","","","","20.96466371","8.268620134289639E-4","8.268620134289639E-4","0.0033577302031811305","-100.0","-100.0","-480.0","-100.0","false",,"otu547->OTU-EUK373","0.0033577302031811305"
"2169","correl_spearman|dist_kullbackleibler",,"copresence","OTU-EUK462->otu38","2","0.84950389|0.90716317","correl_spearman=copresence|dist_kullbackleibler=copresence","correl_spearman=0.03568753248854156|dist_kullbackleibler=0.0","correl_spearman=0.84950389|dist_kullbackleibler=0.90716317","OTU-EUK462->otu38","-0.0062837346599999835","-0.02593905","0.3408342079849883","0.84950389","0.0","0.0","0.0","0.7521145729365077|0.8285589083333333","0.79631479|0.750510375","260.0|260.0","0.1769142918049381|0.4048230151622074","false",,"OTU-EUK462->otu38","0.0"
"2170","dist_kullbackleibler|correl_pearson|dist_bray",,"copresence","otu1103->OTU-EUK1012","3","0.63374359|0.99455713|0.05555297","dist_kullbackleibler=copresence|correl_pearson=copresence|dist_bray=copresence","dist_kullbackleibler=0.0|correl_pearson=0.0016706852373594705|dist_bray=0.004754755869849747","dist_kullbackleibler=0.63374359|correl_pearson=0.99455713|dist_bray=0.05555297","otu1103->OTU-EUK1012","","","","0.63374359","0.0","0.0","0.0","-100.0|-100.0|-100.0","-100.0|-100.0|-100.0","-2.0|-2.0|-2.0","-100.0|-100.0|-100.0","false",,"otu1103->OTU-EUK1012","0.0"
"2172","dist_kullbackleibler",,"copresence","otu158->OTU-EUK1168","1","0.92467392","dist_kullbackleibler=copresence","dist_kullbackleibler=1.7113643835386938E-11","dist_kullbackleibler=0.92467392","otu158->OTU-EUK1168","5.214149406189991","4.867104705","2.517313955687038","0.92467392","7.524202372266586E-10","7.524202372266586E-10","5.63846087996536E-9","0.8270179551050422","0.74752124","904.0","0.43823802493142405","false",,"otu158->OTU-EUK1168","5.63846087996536E-9"
"2174","correl_spearman",,"mutualExclusion","OTU-EUK476->otu1459","1","-0.90050042","correl_spearman=mutualExclusion","correl_spearman=3.1827858126831643E-9","correl_spearman=-0.90050042","OTU-EUK476->otu1459","","","","-0.90050042","2.5906845435574866E-7","2.5906845435574866E-7","1.6476205404000523E-6","-100.0","-100.0","-94.0","-100.0","false",,"OTU-EUK476->otu1459","1.6476205404000523E-6"
"2175","dist_kullbackleibler",,"copresence","otu1099->OTU-EUK2013","1","0.91468407","dist_kullbackleibler=copresence","dist_kullbackleibler=0.0","dist_kullbackleibler=0.91468407","otu1099->OTU-EUK2013","7.210133686219998","7.352244785","2.787882674740561","0.91468407","0.0","0.0","0.0","0.6867279415898246","0.60620739","258.0","0.418236326622454","false",,"otu1099->OTU-EUK2013","0.0"
"2176","dist_kullbackleibler",,"mutualExclusion","otu690->OTU-EUK373","1","20.88234385","dist_kullbackleibler=mutualExclusion","dist_kullbackleibler=6.745046882805639E-6","dist_kullbackleibler=20.88234385","otu690->OTU-EUK373","","","","20.88234385","7.682464665427213E-4","7.682464665427213E-4","0.0031354125572386027","-100.0","-100.0","-480.0","-100.0","false",,"otu690->OTU-EUK373","0.0031354125572386027"
"2178","dist_kullbackleibler",,"copresence","OTU-EUK889->otu482","1","0.93153391","dist_kullbackleibler=copresence","dist_kullbackleibler=0.0","dist_kullbackleibler=0.93153391","OTU-EUK889->otu482","7.3656743996999925","7.45378772","2.608012693407785","0.93153391","0.0","0.0","0.0","0.7664052714866978","0.70354102","278.0","0.3699049408470652","false",,"OTU-EUK889->otu482","0.0"
"2179","dist_kullbackleibler|correl_spearman",,"copresence","otu1503->OTU-EUK374","2","0.80778539|0.91724138","dist_kullbackleibler=copresence|correl_spearman=copresence","dist_kullbackleibler=0.0|correl_spearman=0.01686225875830738","dist_kullbackleibler=0.80778539|correl_spearman=0.91724138","otu1503->OTU-EUK374","8.894097327580004","9.066988345","3.423701588009342","0.80778539","0.0","0.0","0.0","0.6434722312676054|0.8562134501408447","0.75849574|0.88811189","278.0|278.0","0.3878755047030988|0.1557122928545619","false",,"otu1503->OTU-EUK374","0.0"
