"SUID","abundance","degree","Label","matrix_number","name","negdegree","oriID","posdegree","samplecount","selected","shared name","unknowndegree"
"6081","1.7342395672167023E-4","4","otu227","matrix_1","otu227","4","otu227","0","6","false","otu227","0"
"6083","0.008400718382023975","22","OTU-EUK72","matrix_2","OTU-EUK72","1","OTU-EUK72","21","6","false","OTU-EUK72","0"
"6085","7.715363871162332E-4","11","otu879","matrix_1","otu879","3","otu879","8","5","false","otu879","0"
"6087","0.0022359226907834712","27","OTU-EUK381","matrix_2","OTU-EUK381","8","OTU-EUK381","19","5","false","OTU-EUK381","0"
"6088","1.8425179694228522E-4","28","otu3086","matrix_1","otu3086","2","otu3086","26","5","false","otu3086","0"
"6090","4.4939004012275194E-4","2","otu541","matrix_1","otu541","0","otu541","2","5","false","otu541","0"
"6091","0.004287374201467772","108","OTU-EUK197","matrix_2","OTU-EUK197","1","OTU-EUK197","107","9","false","OTU-EUK197","0"
"6093","5.174481414655795E-4","5","otu979","matrix_1","otu979","0","otu979","5","7","false","otu979","0"
"6095","1.5812795407586607E-4","2","otu1299","matrix_1","otu1299","1","otu1299","1","5","false","otu1299","0"
"6097","0.001288593843022086","19","OTU-EUK369","matrix_2","OTU-EUK369","1","OTU-EUK369","18","5","false","OTU-EUK369","0"
"6098","0.0017377730665528834","20","otu667","matrix_1","otu667","6","otu667","14","5","false","otu667","0"
"6100","1.6508221703434686E-4","7","OTU-EUK927","matrix_2","OTU-EUK927","1","OTU-EUK927","6","5","false","OTU-EUK927","0"
"6101","2.346054133327235E-4","7","otu980","matrix_1","otu980","7","otu980","0","6","false","otu980","0"
"6103","7.165055272582536E-4","14","otu1121","matrix_1","otu1121","3","otu1121","11","5","false","otu1121","0"
"6104","0.002772395551875946","4","OTU-EUK339","matrix_2","OTU-EUK339","4","OTU-EUK339","0","5","false","OTU-EUK339","0"
"6106","6.436183975505125E-5","3","otu1577","matrix_1","otu1577","3","otu1577","0","5","false","otu1577","0"
"6107","7.138355321062279E-4","12","OTU-EUK545","matrix_2","OTU-EUK545","3","OTU-EUK545","9","6","false","OTU-EUK545","0"
"6109","6.982523235437755E-4","8","otu830","matrix_1","otu830","4","otu830","4","6","false","otu830","0"
"6111","9.14416323624615E-4","2","otu614","matrix_1","otu614","0","otu614","2","7","false","otu614","0"
"6112","0.020842341744778482","29","OTU-EUK71","matrix_2","OTU-EUK71","0","OTU-EUK71","29","10","false","OTU-EUK71","0"
"6114","2.7958314199144803E-4","4","OTU-EUK156","matrix_2","OTU-EUK156","4","OTU-EUK156","0","5","false","OTU-EUK156","0"
"6115","4.982476375898585E-4","15","otu610","matrix_1","otu610","11","otu610","4","5","false","otu610","0"
"6117","7.38873918859165E-4","1","otu698","matrix_1","otu698","1","otu698","0","5","false","otu698","0"
"6118","2.8424729574591E-4","2","OTU-EUK447","matrix_2","OTU-EUK447","2","OTU-EUK447","0","5","false","OTU-EUK447","0"
"6120","0.0193985524094935","2","OTU-EUK38","matrix_2","OTU-EUK38","0","OTU-EUK38","2","9","false","OTU-EUK38","0"
"6122","3.4552060996040324E-4","15","otu727","matrix_1","otu727","4","otu727","11","5","false","otu727","0"
"6124","6.822636827333414E-4","7","OTU-EUK374","matrix_2","OTU-EUK374","7","OTU-EUK374","0","5","false","OTU-EUK374","0"
"6125","7.177094957615238E-4","4","otu1199","matrix_1","otu1199","3","otu1199","1","7","false","otu1199","0"
"6127","0.0022103012634060847","4","otu440","matrix_1","otu440","0","otu440","4","10","false","otu440","0"
"6129","0.0011312564697353658","74","OTU-EUK385","matrix_2","OTU-EUK385","1","OTU-EUK385","73","6","false","OTU-EUK385","0"
"6130","0.0017769651938475423","4","otu432","matrix_1","otu432","0","otu432","4","10","false","otu432","0"
"6132","9.076348291160768E-4","19","OTU-EUK289","matrix_2","OTU-EUK289","0","OTU-EUK289","19","7","false","OTU-EUK289","0"
"6134","0.00100320357003062","7","otu791","matrix_1","otu791","5","otu791","2","5","false","otu791","0"
"6136","0.002143595707293071","4","OTU-EUK241","matrix_2","OTU-EUK241","4","OTU-EUK241","0","5","false","OTU-EUK241","0"
"6138","0.0010461484446343818","7","otu834","matrix_1","otu834","4","otu834","3","6","false","otu834","0"
"6140","4.109213572099876E-4","1","OTU-EUK189","matrix_2","OTU-EUK189","1","OTU-EUK189","0","7","false","OTU-EUK189","0"
"6141","7.31828160285807E-5","3","otu724","matrix_1","otu724","2","otu724","1","5","false","otu724","0"
"6143","0.002109475448829369","2","OTU-EUK198","matrix_2","OTU-EUK198","0","OTU-EUK198","2","9","false","OTU-EUK198","0"
"6144","2.4368398382241114E-4","8","otu993","matrix_1","otu993","1","otu993","7","7","false","otu993","0"
"6146","0.005234293395530624","6","OTU-EUK233","matrix_2","OTU-EUK233","6","OTU-EUK233","0","5","false","OTU-EUK233","0"
"6147","4.278851234184859E-4","9","otu989","matrix_1","otu989","5","otu989","4","6","false","otu989","0"
"6149","7.136824869445006E-5","4","otu1312","matrix_1","otu1312","0","otu1312","4","5","false","otu1312","0"
"6150","0.004364423146192464","38","OTU-EUK144","matrix_2","OTU-EUK144","3","OTU-EUK144","35","8","false","OTU-EUK144","0"
"6154","0.03647410096020737","1","otu56","matrix_1","otu56","0","otu56","1","8","false","otu56","0"
"6156","7.17820509523821E-4","4","OTU-EUK546","matrix_2","OTU-EUK546","2","OTU-EUK546","2","5","false","OTU-EUK546","0"
"6158","0.004005353104430501","7","otu302","matrix_1","otu302","5","otu302","2","5","false","otu302","0"
"6161","0.001172845033626788","9","OTU-EUK505","matrix_2","OTU-EUK505","4","OTU-EUK505","5","5","false","OTU-EUK505","0"
"6162","3.781284009733184E-4","17","otu871","matrix_1","otu871","0","otu871","17","7","false","otu871","0"
"6165","1.4660552180965826E-4","5","otu1095","matrix_1","otu1095","1","otu1095","4","6","false","otu1095","0"
"6167","2.9777152499194716E-4","3","OTU-EUK910","matrix_2","OTU-EUK910","1","OTU-EUK910","2","5","false","OTU-EUK910","0"
"6170","0.007436249531255366","7","otu54","matrix_1","otu54","3","otu54","4","8","false","otu54","0"
"6172","0.40096669741179214","8","otu4","matrix_1","otu4","0","otu4","8","10","false","otu4","0"
"6173","0.006728665879046117","16","OTU-EUK145","matrix_2","OTU-EUK145","0","OTU-EUK145","16","10","false","OTU-EUK145","0"
"6175","2.9765345580119674E-4","11","otu1166","matrix_1","otu1166","3","otu1166","8","6","false","otu1166","0"
"6176","7.002454152587925E-4","12","OTU-EUK653","matrix_2","OTU-EUK653","0","OTU-EUK653","12","6","false","OTU-EUK653","0"
"6178","0.0028566265401715526","4","otu509","matrix_1","otu509","0","otu509","4","9","false","otu509","0"
"6180","2.3707814811471602E-4","6","OTU-EUK1516","matrix_2","OTU-EUK1516","0","OTU-EUK1516","6","5","false","OTU-EUK1516","0"
"6181","0.0025454806664211922","10","otu424","matrix_1","otu424","3","otu424","7","6","false","otu424","0"
"6184","0.00210151889172153","3","OTU-EUK328","matrix_2","OTU-EUK328","3","OTU-EUK328","0","6","false","OTU-EUK328","0"
"6185","6.886934940150378E-5","9","otu2339","matrix_1","otu2339","8","otu2339","1","5","false","otu2339","0"
"6187","2.0743061908296437E-4","4","OTU-EUK245","matrix_2","OTU-EUK245","4","OTU-EUK245","0","5","false","OTU-EUK245","0"
"6188","3.0536798692805693E-4","5","otu283","matrix_1","otu283","3","otu283","2","5","false","otu283","0"
"6190","8.177979713820488E-4","16","OTU-EUK605","matrix_2","OTU-EUK605","16","OTU-EUK605","0","5","false","OTU-EUK605","0"
"6191","8.23339843318622E-5","8","otu3190","matrix_1","otu3190","2","otu3190","6","5","false","otu3190","0"
"6193","3.988618821961427E-4","19","OTU-EUK580","matrix_2","OTU-EUK580","19","OTU-EUK580","0","5","false","OTU-EUK580","0"
"6195","6.239919928055933E-4","4","otu929","matrix_1","otu929","0","otu929","4","8","false","otu929","0"
"6197","2.919138692780665E-4","19","otu2010","matrix_1","otu2010","5","otu2010","14","5","false","otu2010","0"
"6200","9.785417545994557E-4","2","otu553","matrix_1","otu553","2","otu553","0","7","false","otu553","0"
"6201","5.940415039412038E-4","6","OTU-EUK470","matrix_2","OTU-EUK470","6","OTU-EUK470","0","5","false","OTU-EUK470","0"
"6203","0.0049979090937795","1","otu322","matrix_1","otu322","1","otu322","0","8","false","otu322","0"
"6205","0.20313063945245136","1","otu13","matrix_1","otu13","0","otu13","1","10","false","otu13","0"
